,id,created_at,story,original_url,retweeted_status_id,quoted_status_id,in_reply_to_status_id,partisan_lean
7175,1334230733976694786,2020-12-02 20:19:30+00,tech: Hammer and Scorecard,,,1.3341928336627712e+18,,right
7176,1334228705984569344,2020-12-02 20:11:26+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
7177,1334281558757400576,2020-12-02 23:41:28+00,tech: Hammer and Scorecard,,1.3341829063070884e+18,,,right
7178,1334204540783009792,2020-12-02 18:35:25+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
7179,1334203522112319488,2020-12-02 18:31:22+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,,1.3342008577144463e+18,,right
7180,1334203579029188616,2020-12-02 18:31:36+00,tech: Hammer and Scorecard,,,,1.3321576208666583e+18,right
7181,1334205550775644160,2020-12-02 18:39:26+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,,1.3342008577144463e+18,,right
7182,1334216646639181827,2020-12-02 19:23:31+00,tech: Hammer and Scorecard,,1.3331428162691113e+18,1.327321596755927e+18,,right
7183,1334204800456683526,2020-12-02 18:36:27+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
7184,1334128792885997570,2020-12-02 13:34:25+00,tech: Hammer and Scorecard,https://www.wnd.com/2020/12/treasonous-enemies-within-3-star-general-pushes-trump-use-emergency-powers/,,1.3340245206598246e+18,,right
7185,1334205626872901641,2020-12-02 18:39:44+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342008577144463e+18,,,right
